,Product ID,Product Description,Quantity
18,5378,Green Pea Cookie 1oz,2
33,456,Tea 16.9oz,1
34,1338,Tea 16.9oz,1
35,459,Tea 16.9oz,1
63,171,Avocados,2
64,161,Bananas 1lb ,8
67,494,Lemons 1ct,1
73,4887,Red Apples,1
74,4886,Red Apples,2
