,Product ID,Product Description,Quantity
0,161,Bananas 1lb ,12
1,494,Lemons 1ct,6
2,4886,Red Apples,5
3,3548,Organic Blackberries 6oz,4
4,4190,Non-Fat Yogurt 5.3oz,1
